query,product_id,product_name,merchant_id,poi_id,recall_path,recall_score,matched_terms,query_intent
水光补水,P1001,水光补水体验套餐,M001,POI001,keyword_inverted,0.94,水光|补水,高意向服务搜索
水光补水,P1002,小气泡清洁护理,M001,POI001,query_expansion,0.71,补水|清洁|皮肤管理,相关服务扩展
水光补水,P1003,基础皮肤检测,M001,POI001,vector_match,0.58,皮肤|检测|护理,语义相近服务
小气泡清洁,P1002,小气泡清洁护理,M001,POI001,keyword_inverted,0.93,小气泡|清洁,高意向服务搜索
小气泡清洁,P1001,水光补水体验套餐,M001,POI001,query_expansion,0.64,补水|皮肤管理|护理,相关服务扩展
小气泡清洁,P1004,胶原修护护理套餐,M001,POI001,vector_match,0.52,修护|护理|皮肤,语义相近服务
美甲款式,P2001,日式美甲单色套餐,M002,POI002,keyword_inverted,0.91,美甲|款式,高意向服务搜索
美甲款式,P2003,延长甲设计款套餐,M002,POI002,query_expansion,0.78,美甲|设计款|延长甲,相关服务扩展
美甲款式,P2002,美睫自然款套餐,M002,POI002,vector_match,0.49,自然款|美睫|造型,语义相近服务
自然款美睫,P2002,美睫自然款套餐,M002,POI002,keyword_inverted,0.92,自然款|美睫,高意向服务搜索
自然款美睫,P2001,日式美甲单色套餐,M002,POI002,query_expansion,0.55,美甲|自然|款式,相关服务扩展
自然款美睫,P2003,延长甲设计款套餐,M002,POI002,vector_match,0.42,设计|造型|款式,语义相近服务
双人烤肉,P3001,双人烤肉套餐,M003,POI003,keyword_inverted,0.95,双人|烤肉,高意向服务搜索
双人烤肉,P3002,工作日午市套餐,M003,POI003,query_expansion,0.62,正餐|套餐|午市,相关服务扩展
双人烤肉,P6001,洗剪吹造型套餐,M006,POI006,vector_match,0.21,套餐|体验,低相关语义兜底
亲子摄影,P4001,亲子写真体验套餐,M004,POI004,keyword_inverted,0.92,亲子|摄影,高意向服务搜索
亲子摄影,P4002,周岁照精修套餐,M004,POI004,query_expansion,0.74,周岁照|写真|精修,相关服务扩展
亲子摄影,P1003,基础皮肤检测,M001,POI001,vector_match,0.18,体验|预约,低相关语义兜底
健身私教体验,P5001,健身私教体验课,M005,POI005,keyword_inverted,0.96,健身|私教|体验,高意向服务搜索
健身私教体验,P5002,四节体态评估课程,M005,POI005,query_expansion,0.73,体态|课程|评估,相关服务扩展
健身私教体验,P3002,工作日午市套餐,M003,POI003,vector_match,0.17,工作日|套餐,低相关语义兜底
洗剪吹造型,P6001,洗剪吹造型套餐,M006,POI006,keyword_inverted,0.94,洗剪吹|造型,高意向服务搜索
洗剪吹造型,P6002,染烫护理体验套餐,M006,POI006,query_expansion,0.68,染烫|护理|美发,相关服务扩展
洗剪吹造型,P2003,延长甲设计款套餐,M002,POI002,vector_match,0.24,设计|造型,低相关语义兜底
